radar_name,city,state
KHGX,Houston,TX
KHNX,Hanford,CA
KHOU,William P. Hobby Airport,TX
KHPX,Fort Campbell,TN
KHRI,Hermiston,OR
KHTX,Hytop,AL
KIAD,Washington Dulles International Airport,VA
KIAH,George Bush Intercontinental Airport,TX
KICT,Wichita,KS
KICX,Cedar City,UT
KILN,Wilmington,OH
KILX,Lincoln,IL
KIND,Indianapolis,IN
KINX,Tulsa,OK
KIWA,Phoenix,AZ
KIWX,Northern Indiana,IN
KJAN,Jackson,MS
KJAX,Jacksonville,FL
KJFK,John F. Kennedy International Airport,NY
KJGX,Robins AFB,GA
KJKL,Jackson,KY
KLAS,McCarran International Airport,NV
KLBB,Lubbock,TX
KLCH,Lake Charles,LA
KLGX,Langley Hill,WA
KLIX,New Orleans,LA
KLNX,North Platte,NE
KLOT,Chicago,IL
KLRX,Elko,NV
KLSX,St. Louis,MO
KLTX,Wilmington,NC
KLVE,Las Vegas,NV
KLVX,Louisville,KY
KLWX,Sterling,VA
KLZK,Little Rock,AR
KMAF,Midland,TX
KMAX,Medford,OR
KMBX,Minot,ND
KMCI,Kansas City International Airport,MO
KMCO,Orlando International Airport,FL
KMDW,Chicago Midway International Airport,IL
KMEM,Memphis International Airport,TN
KMHX,Newport,NC
KMIA,Miami International Airport,FL
KMKE,Milwaukee Mitchell International Airport,WI
KMKX,Milwaukee,WI
KMLB,Melbourne,FL
KMOB,Mobile,AL
KMPX,Minneapolis,MN
KMQT,Marquette,MI
KMRX,Morristown,TN
KMSP,Minneapolis-Saint Paul International Airport,MN
KMSX,Missoula,MT
KMSY,Louis Armstrong New Orleans International Airport,LA
KMTX,Salt Lake City,UT
KMUX,San Francisco,CA
KMVX,Grand Forks,ND
KMXX,Maxwell AFB,AL
KNKX,San Diego,CA
KNQA,Millington,TN
KOAX,Omaha,NE
KOHX,Nashville,TN
KOKX,Upton,NY
KORD,O'Hare International Airport,IL
KOTX,Spokane,WA
KPAH,Paducah,KY
KPBZ,Pittsburgh,PA
KPDT,Pendleton,OR
KPHL,Philadelphia International Airport,PA
KPHX,Phoenix Sky Harbor International Airport,AZ
KPIT,Pittsburgh International Airport,PA
KPOE,Fort Polk,LA
KPUX,Pueblo,CO
KRAX,Raleigh,NC
KRDU,Raleigh-Durham International Airport,NC
KRGX,Reno,NV
KRIW,Riverton,WY
KRLX,Charleston,WV
KRMX,Griffiss AFB,NY
KRTX,Portland,OR
KSFX,Pocatello,ID
KSGF,Springfield,MO
KSHV,Shreveport,LA
KSJT,San Angelo,TX
KSLC,Salt Lake City International Airport,UT
KSOX,Santa Ana Mountains,CA
KSRX,Fort Smith,AR
KTBW,Tampa,FL
KTFX,Great Falls,MT
KTLH,Tallahassee,FL
KTLX,Oklahoma City,OK
KTMX,Hastings,NE
KTPA,Tampa International Airport,FL
KTUL,Tulsa International Airport,OK
KTWX,Topeka,KS
KTYX,Montague,NY
KUDX,Rapid City,SD
KUEX,Kearney,NE
KVAX,Moody AFB,GA
KVBX,Vandenberg AFB,CA
KVNX,Vance AFB,OK
KVTX,Los Angeles,CA
KVWX,Evansville,IN
KYUX,Yuma,AZ
PAPD,Kodiak,AK
PHKI,Barking Sands,HI
PHKM,Kaunakakai,HI
PHMO,Molokai,HI
PHWA,South Point,HI
TJUA,San Juan,MX
TSJU,Luis Munoz Marin International Airport,PR
